id,NAME,DESCRIPTION,CATEGORY,EFFECT,VISUAL_DESCRIPTION,CLASS,IMAGES,DEFAULT_IMAGE,VALID,PIXEL_IMAGES,DEFAULT_PIXEL_IMAGE,ATK,DEF,CREATED_AT,UPDATED_AT
17,Amulet of the Moon's Shadow,"This amulet is said to be blessed by the gods of the night, granting its wearer the power to manipulate the shadows of the moon.",defense_item,The wearer of this amulet can cast spells that manipulate shadows and darkness.,"The amulet is a silver crescent moon with a black gemstone in the center, surrounded by a ring of obsidian stones.",Artifact,,,1,,,,,2023-10-31T08:02:36.175271,
18,Amulet of the Mystic,This amulet is said to be imbued with the power of a powerful mystic. It grants its wearer the ability to tap into the power of the mystic realm.,magic_item,Grants the wearer the ability to tap into the power of the mystic realm.,"The amulet is a deep blue color, with a silver chain and a large, ornate symbol in the center. The symbol is a complex pattern of circles and lines, and it glows with a faint blue light.",Mystic,,,1,,,,,2023-10-31T08:02:36.192035,
19,Amulet of the Mystic,This amulet is said to be imbued with the power of a powerful mystic. It grants its wearer the ability to tap into the power of the mystic arts.,magic_item,Grants the wearer the ability to tap into the power of the mystic arts.,"The amulet is a deep blue color, with a silver chain and a large, ornate symbol in the center. The symbol is a complex pattern of circles and lines, and it glows with a faint blue light.",Mystic,,,1,,,,,2023-10-31T08:02:36.211474,
20,Amulet of Unstoppable Strength,"This amulet grants its wearer incredible strength, allowing them to lift objects far beyond their normal capacity.",defense_item,The wearer of the amulet gains a +2 bonus to Strength.,"The amulet is a small, circular pendant made of a dark metal. It has a single red gemstone set in the center, and is attached to a thin silver chain.",Artifact,,,1,,,,,2023-10-31T08:02:36.232650,
21,Amulet of Wisdom's Blessing,"This amulet grants its wearer the wisdom of the ages, allowing them to make wise decisions and gain insight into the future.",defense_item,The wearer of this amulet gains +2 to all Wisdom-based checks and rolls.,"The amulet is a small golden disc, with a single large sapphire set in the center. The sapphire glows with a soft blue light, and the disc is inscribed with ancient runes.",Artifact,,,1,,,,,2023-10-31T08:02:36.274191,
22,Anarion's Firestorm,Anarion's Firestorm deals 5 damage to all enemies and restores 5 health to all allies.,creature,Deals 5 damage to all enemies and restores 5 health to all allies.,"A swirling vortex of fire and lightning erupts from Anarion's hands, engulfing the battlefield in a raging inferno.",Spell,,,1,,,,,2023-10-31T08:02:36.300128,
23,Angelic Paladin,"A powerful warrior of light, the Angelic Paladin is a formidable force on the battlefield.",creature,"When this card is summoned, all friendly creatures gain +2 attack and +2 defense.","The Angelic Paladin is a tall, muscular figure wearing shining armor and wielding a large sword. His wings are spread wide, and a halo of light surrounds him.",Warrior,,,1,,,,,2023-10-31T08:02:36.318904,
24,Ar-Pharazon the Unyielding,A powerful warrior who will never give up in the face of adversity.,creature,Gain +2 attack and +2 defense for each enemy on the field.,"A tall, muscular figure wearing heavy armor and wielding a large sword. His face is stern and determined, and his eyes are blazing with determination.",Warrior,,,1,,,,,2023-10-31T08:02:36.340386,
25,Armor of the Ancients,This ancient armor was forged by the gods to protect its wearer from all harm.,defense_item,Grants the wearer immunity to all physical damage.,A suit of shining silver armor with intricate gold detailing. The armor is adorned with a crest of a lion and a shield with a cross emblazoned on it.,Paladin,,,1,,,,,2023-10-31T08:02:36.357220,
26,Artifact of True Seeing,This artifact grants the user the ability to see the truth in all things.,magic_item,Grants the user the ability to see the truth in all things.,"A small, golden eye-shaped amulet with a single, glowing blue gem in the center.",Artifact,,,1,,,,,2023-10-31T08:02:36.375597,
27,Assault Rifle Blaster,This powerful weapon is capable of dealing massive damage to enemies.,attack_item,Deals massive damage to enemies.,"A large, black rifle with a long barrel and a scope on top. It has a large magazine and a handle on the side for easy carrying.",Weapon,,,1,,,,,2023-10-31T08:02:36.394305,
28,Axe-Slicer,A powerful axe that can slice through anything.,attack_item,Deals extra damage to enemies.,"A large, two-handed axe with a curved blade and a long handle. The blade is made of a dark metal and is etched with intricate designs. The handle is made of a light wood and is wrapped in leather for a better grip.",Weapon,,,1,,,,,2023-10-31T08:02:36.412991,
29,Balin II: The Silver Shield,A powerful shield that can protect its wielder from any attack.,creature,Gain +2 Defense and +2 Health.,"A large silver shield with intricate designs etched into its surface. The shield is adorned with a golden crest in the center, and its edges are lined with a deep blue trim.",Equipment,,,1,,,,,2023-10-31T08:02:36.430090,
30,Balm of Renewal,A magical balm that can restore life to the dead.,magic_item,Restores life to the dead.,A small vial of glowing green liquid with a faint mist rising from it.,Healing,,,1,,,,,2023-10-31T08:02:36.451607,
31,Balm of Restoration Elixir,This elixir is said to restore the body and soul of any creature that drinks it.,magic_item,Restores the body and soul of any creature that drinks it.,A small vial of glowing blue liquid with a cork stopper.,Healing,,,1,,,,,2023-10-31T08:02:36.471696,
32,Balm of Restoration Elixir,This elixir is a powerful restorative potion that can heal wounds and restore vitality.,magic_item,Restores health and vitality.,A glowing green liquid contained in a small glass vial with a cork stopper.,Healing,,,1,,,,,2023-10-31T08:02:36.490955,
33,Balm of the Wild,A magical balm that can heal any wound and restore life to the dead.,magic_item,Heals all wounds and restores life to the dead.,A small vial of green liquid with a faint glow emanating from it.,Healing,,,1,,,,,2023-10-31T08:02:36.511465,
34,Banded Mail Guardian,A powerful guardian made of banded mail armor that defends its allies from harm.,defense_item,Gain +2 Armor and +2 Health.,"A large humanoid figure wearing a suit of banded mail armor, with a shield and sword in hand, standing ready to defend its allies.",Warrior,,,1,,,,,2023-10-31T08:02:36.529848,
35,Banshee's Howl,"When played, all enemy minions take 2 damage and are silenced for 1 turn.",creature,Deal 2 damage and silence all enemy minions for 1 turn.,"A dark purple mist swirls around the battlefield, emanating from a spectral figure with a haunting wail.",Warlock,,,1,,,,,2023-10-31T08:02:36.553406,
36,Banshee's Howl,"When played, all enemy minions take 2 damage and are silenced for 1 turn.",creature,Deal 2 damage to all enemy minions and silence them for 1 turn.,"A dark purple mist swirls around the battlefield, emanating from a howling banshee in the center. The mist envelops all enemy minions, causing them to take 2 damage and become silenced.",Warlock,,,1,,,,,2023-10-31T08:02:36.573511,
37,Bard II: The Mystic Sage,"A powerful sage with a mysterious past, Bard II is a master of the arcane arts. He can cast powerful spells to aid his allies and hinder his foes.",creature,"When Bard II is summoned, all allies gain +2 to their attack and defense stats.","Bard II is a tall, imposing figure with a long white beard and piercing blue eyes. He wears a long, flowing robe and carries a staff with a glowing orb at its tip.",Mystic,,,1,,,,,2023-10-31T08:02:36.591731,
38,Bard the Bowman's Arrow,Bard the Bowman's Arrow is a powerful magical arrow that can be used to defeat powerful enemies.,creature,Deals massive damage to a single target.,"A glowing arrow with a golden tip, surrounded by a swirling aura of energy.",Archer,,,1,,,,,2023-10-31T08:02:36.614661,
39,Bard the Bowman's Arrow,Bard the Bowman's Arrow is a powerful magical weapon that can be used to shoot arrows with incredible accuracy and power.,creature,"When used, this arrow can shoot arrows with incredible accuracy and power.","Bard the Bowman's Arrow is a long, silver arrow with a golden tip. The shaft is decorated with intricate designs and runes, and the feathers of the arrow are a deep blue. The arrow glows with a faint magical light.",Weapon,,,1,,,,,2023-10-31T08:02:36.632574,
40,Bardic Sage,A wise and powerful sage who uses their magical music to aid their allies.,creature,Heals all allies for a moderate amount of health.,"A tall, slender figure with a long white beard and a staff in one hand. They are wearing a long, flowing robe and a pointed hat, and their other hand is playing a magical instrument.",Support,,,1,,,,,2023-10-31T08:02:36.652286,
41,Barghest of the Abyss,"A powerful creature from the depths of the abyss, the Barghest of the Abyss is a fearsome opponent.",creature,"When this card is summoned, all other creatures on the field are destroyed.","The Barghest of the Abyss appears as a large, black, four-legged beast with glowing red eyes and a long, spiked tail. Its body is covered in thick, black fur and its claws are razor sharp.",Demon,,,1,,,,,2023-10-31T08:02:36.698118,
42,Basilisk of the Deep,"A powerful creature from the depths of the ocean, the Basilisk of the Deep is a force to be reckoned with.",creature,"When this creature enters the battlefield, all creatures your opponents control become tapped.","A giant sea serpent with a long, scaly body and a head resembling a dragon, with glowing red eyes and sharp teeth.",Creature,,,1,,,,,2023-10-31T08:02:36.723423,
43,Battle-Axe of the Ancients,This ancient battle-axe was forged by the gods of old and imbued with powerful magic. It is said to be able to cut through any armor and even the toughest of foes.,attack_item,Deals extra damage to armored enemies.,"The Battle-Axe of the Ancients is a large, two-handed axe with a long, curved blade. The handle is made of a dark, polished wood and is decorated with intricate carvings. The blade is made of a shining silver metal and is etched with ancient runes.",Weapon,,,1,,,,,2023-10-31T08:02:36.742333,
44,Beorn II: The Wrath of the Wild,"Beorn II is a powerful creature that can unleash the fury of the wild upon its enemies. It has the ability to transform into a giant bear, granting it immense strength and ferocity.",creature,"When Beorn II enters the battlefield, it deals 3 damage to target creature or player.","Beorn II is a giant bear with a thick coat of fur and sharp claws. Its eyes glow with a fierce intensity, and its roar can be heard for miles.",Creature,,,1,,,,,2023-10-31T08:02:36.764655,
45,Beorn's Blessing,"A blessing from the great Beorn, granting the user a powerful boon.",creature,Grants the user +2 Attack and +2 Health.,"A golden light radiates from a large, shining hand, granting the user a powerful blessing.",Paladin,,,1,,,,,2023-10-31T08:02:36.782682,
46,Beren's Blessing,"A blessing from the ancient hero Beren, granting the user a powerful protection.",creature,Gain +2 Armor and +2 Health.,"A golden shield with a white cross in the center, surrounded by a halo of light.",Paladin,,,1,,,,,2023-10-31T08:02:36.802943,
47,Bigfoot's Blessing,"A blessing from the mysterious Bigfoot, granting its user great power.",creature,Gain +2 Attack and +2 Health.,"A large, furry Bigfoot stands in the center of the card, surrounded by a bright, golden aura.",Spell,,,1,,,,,2023-10-31T08:02:36.824978,
48,Black Annis's Shadow,"When this card is summoned, all monsters on the field become dark-attributed and gain 500 ATK and DEF.",creature,All monsters on the field become dark-attributed and gain 500 ATK and DEF.,"A shadowy figure of a woman with long claws and a wild mane of hair looms over the battlefield, her presence causing the monsters to become dark-attributed and gain 500 ATK and DEF.",Spell,,,1,,,,,2023-10-31T08:02:36.840287,
49,Black Annis's Shadow,"A dark and mysterious shadow that lurks in the night, Black Annis's Shadow is a powerful force of evil.",creature,"When cast, Black Annis's Shadow will cause all enemies within a certain radius to become paralyzed with fear.","Black Annis's Shadow appears as a dark, shadowy figure with glowing red eyes. Its presence is enough to cause fear in all who behold it.",Dark Magic,,,1,,,,,2023-10-31T08:02:36.859626,
50,Black Dog of the Abyss,"A powerful creature from the depths of the abyss, the Black Dog of the Abyss is a force to be reckoned with.",creature,"When this card is summoned, all other creatures on the field are destroyed.","The Black Dog of the Abyss appears as a large, black canine with glowing red eyes and a long, spiked tail. Its fur is thick and matted, and its claws are sharp and menacing.",Demon,,,1,,,,,2023-10-31T08:02:36.880332,
51,Blessing of Luck's Fortune,This blessing grants the recipient a chance to increase their luck and fortune.,magic_item,The recipient of this blessing has a chance to increase their luck and fortune.,"A golden light radiates from the card, with a four-leaf clover in the center. The clover is surrounded by a halo of stars and a rainbow of colors.",Blessing,,,1,,,,,2023-10-31T08:02:36.903701,
52,Blessing of Protection Shield,A magical shield that grants the user protection from all forms of harm.,magic_item,Grants the user a shield that absorbs all incoming damage for a short duration.,"A shimmering golden shield appears in front of the user, protecting them from all incoming damage.",Paladin,,,1,,,,,2023-10-31T08:02:36.923075,
53,Blessing of the Heavens,A divine blessing from the heavens that grants the user a powerful boon.,magic_item,Grants the user a powerful boon.,"A bright light descends from the heavens, bathing the user in a golden glow.",Divine,,,1,,,,,2023-10-31T08:02:36.949454,
54,Blessing of the Heavens,A divine blessing from the heavens that grants the caster a powerful boon.,magic_item,Grants the caster a powerful buff that increases their attack and defense.,"A brilliant light descends from the heavens, bathing the caster in a golden glow.",Divine,,,1,,,,,2023-10-31T08:02:36.968803,
55,Blowgun Blaster,This card allows you to shoot a powerful blast of air from your blowgun.,attack_item,Deals 2 damage to a single target.,"A figure holding a blowgun with a glowing blue orb at the end, ready to fire.",Spell,,,1,,,,,2023-10-31T08:02:36.989523,
56,Blowpipe of the Wilds,This ancient blowpipe is said to have been crafted by the wilds themselves. It is said to be able to channel the power of nature to its wielder.,attack_item,Grants the wielder the ability to channel the power of nature.,"The blowpipe is made of a dark wood, with intricate carvings of animals and plants along its length. The mouthpiece is made of a bright green stone, and the end is tipped with a sharp metal point.",Ranged Weapon,,,1,,,,,2023-10-31T08:02:37.011489,
57,Bo Staff of the Ancients,This ancient staff is said to have been used by the gods of old to protect their lands from evil.,attack_item,Grants the wielder increased strength and agility.,"The Bo Staff of the Ancients is a long wooden staff with intricate carvings and symbols along its length. It is said to be made of a rare and powerful wood, and its handle is wrapped in a deep red cloth.",Weapon,,,1,,,,,2023-10-31T08:02:37.028266,
58,Bogle's Blessing,"A blessing from the ancient Bogle, granting its user a powerful protection.",creature,Gain +2 Armor and +2 Health.,"A golden shield with a glowing green aura, surrounded by a halo of light.",Paladin,,,1,,,,,2023-10-31T08:02:37.047279,
59,Bolas of the Burning Sky,"When Bolas of the Burning Sky enters the battlefield, it deals 3 damage to each creature and each player.",attack_item,Deal 3 damage to each creature and each player.,"A large, fiery dragon with wings of flame and a tail of burning embers. Its eyes are a deep, smoldering red and its claws are sharp and menacing.",Sorcery,,,1,,,,,2023-10-31T08:02:37.067612,
60,Bolos of the Burning Sun,"A powerful creature of the sun, Bolos of the Burning Sun is a force to be reckoned with. Its fiery aura is said to be able to incinerate anything in its path.",attack_item,"When Bolos of the Burning Sun enters the battlefield, it deals 3 damage to each creature and player.","Bolos of the Burning Sun is a large, fiery creature with a bright red body and four wings. Its eyes are a deep yellow, and its mouth is filled with sharp teeth. Its wings are tipped with flames, and its tail is a long, fiery whip.",Legendary,,,1,,,,,2023-10-31T08:02:37.092140,
61,Bombur's Fireball,"A powerful spell created by the dwarf Bombur, this fireball can cause massive destruction.",creature,Deals 5 damage to all enemies.,A bright red fireball with sparks of orange and yellow radiating from it.,Spell,,,1,,,,,2023-10-31T08:02:37.108436,
62,Boogeyman's Terror,"When this card is summoned, all monsters on the field are destroyed.",creature,Destroy all monsters on the field.,A dark figure with glowing red eyes and a menacing grin stands in the center of a swirling vortex of dark energy.,Spell,,,1,,,,,2023-10-31T08:02:37.127054,
63,Boomerang Blaster,A magical boomerang that can be used to attack enemies from a distance.,attack_item,Deals damage to a single enemy.,"A bright blue boomerang with a yellow star in the center, surrounded by a swirling purple aura.",Spell,,,1,,,,,2023-10-31T08:02:37.144638,
64,Boots of Elvenkind's Blessing,These magical boots grant the wearer the ability to move silently and without detection.,defense_item,The wearer of these boots can move silently and without detection.,"The boots are made of a soft, supple leather and are adorned with intricate elven designs. They are a deep forest green in color and have a faint, magical glow about them.",Enchantment,,,1,,,,,2023-10-31T08:02:37.163061,
65,Boots of Levitation's Flight,These magical boots allow the wearer to fly for a short period of time.,defense_item,Grants the wearer the ability to fly for a short period of time.,The boots are made of a shimmering silver material and have a pair of wings on the back. The wings are made of a light blue material and sparkle in the light.,Mage,,,1,,,,,2023-10-31T08:02:37.184230,
66,Boots of Speedful Haste,These magical boots allow the wearer to move with incredible speed.,defense_item,The wearer gains a +2 bonus to their movement speed.,The boots are made of a deep black leather and have a silver buckle. They are adorned with a pattern of lightning bolts that seem to move when the light hits them.,Equipment,,,1,,,,,2023-10-31T08:02:37.203336,
67,Boots of Striding and Springing of the Wilds,"These magical boots allow the wearer to move with incredible speed and agility, allowing them to traverse difficult terrain with ease.",defense_item,Grants the wearer increased speed and agility.,"The boots are made of a dark brown leather, with intricate patterns of leaves and vines stitched into the sides. The soles are made of a thick, durable material, allowing for a strong grip on any terrain.",Boots,,,1,,,,,2023-10-31T08:02:37.253931,
68,Boots of the Cat's Paw,"These boots are made of a soft, supple leather and are adorned with a paw print on the toe. When worn, they grant the wearer the agility and grace of a cat, allowing them to move quickly and silently.",defense_item,Grants the wearer increased agility and speed.,"The boots are a deep brown color and have a paw print on the toe. They are made of a soft, supple leather and have a slight sheen to them.",Rogue,,,1,,,,,2023-10-31T08:02:37.293618,
69,Boots of the Wild,"These boots grant the wearer the power of the wild, allowing them to move quickly and silently through the forest.",defense_item,Increases movement speed and grants stealth in the forest.,"The boots are made of a dark brown leather and have intricate patterns of leaves and vines stitched into them. The soles are made of a thick, durable material that allows for silent movement.",Hunter,,,1,,,,,2023-10-31T08:02:37.314903,
70,Boots of the Winterlands,"These boots are made of a thick, white fur that keeps your feet warm even in the coldest of climates.",defense_item,Grants the wearer resistance to cold damage.,The boots are made of white fur and have a thick sole. They have a fur lining around the top and a buckle on the side.,Equipment,,,1,,,,,2023-10-31T08:02:37.336749,
71,Bow of the Wilds,"This bow is said to have been crafted by the gods of the wilds, granting its wielder the power to command the forces of nature.",attack_item,Grants the wielder the ability to cast spells related to nature.,"The Bow of the Wilds is a longbow made of a dark wood, with intricate carvings of animals and plants along its length. The bowstring is made of a shimmering green material, and the bow itself is tipped with a golden arrowhead.",Ranger,,,1,,,,,2023-10-31T08:02:37.359361,
72,Bowgun Blaster,A powerful bowgun that can fire multiple arrows at once.,attack_item,Deals damage to multiple enemies at once.,A large bowgun with a long barrel and multiple arrows loaded into the chamber.,Weapon,,,1,,,,,2023-10-31T08:02:37.376678,
73,Bracers of Archery: Swiftbow,These bracers grant the wearer the ability to fire arrows with incredible speed and accuracy.,defense_item,Increases the speed and accuracy of arrows fired by the wearer.,The bracers are made of a dark leather and have a silver bow and arrow symbol on the front. The bracers are lined with a soft velvet material for comfort.,Archer,,,1,,,,,2023-10-31T08:02:37.402668,
74,Bracers of Archery's Swift Shot,"These bracers are said to have been crafted by the legendary archer, Archery's Swift Shot. They grant the wearer increased accuracy and speed when shooting a bow.",defense_item,Increases accuracy and speed when shooting a bow.,The bracers are made of a dark leather and have intricate designs of arrows and bows etched into them. They are fastened with a silver buckle and have a small green gem in the center.,Archer,,,1,,,,,2023-10-31T08:02:37.430763,
75,Bracers of Archery's Swift Shot,"These bracers are said to have been crafted by the legendary archer, Archery, and grant the wearer the ability to fire arrows with incredible speed and accuracy.",defense_item,Increases the speed and accuracy of arrows fired by the wearer.,The bracers are made of a dark leather and are decorated with intricate designs of arrows and bows. They are fastened with a silver buckle and have a small emblem of an arrow on the front.,Archer,,,1,,,,,2023-10-31T08:02:37.461365,
76,Bracers of Defense of the Ironclad,"These bracers are made of a strong iron alloy and are inscribed with ancient runes. When worn, they provide a powerful defensive boost to the wearer.",defense_item,Grants the wearer a +2 bonus to AC.,The bracers are a dull grey color and have intricate runes etched into them. They are made of a strong iron alloy and are quite heavy.,Defensive,,,1,,,,,2023-10-31T08:02:37.485779,
77,Bracers of Defense of the Ironclad,"These bracers are made of a strong iron alloy and are inscribed with ancient runes. When worn, they provide a powerful defensive boost to the wearer.",defense_item,Grants +2 Defense to the wearer.,The bracers are made of a dark iron alloy and are inscribed with ancient runes. They have a dull sheen and are slightly curved to fit the wearer's arms.,Armor,,,1,,,,,2023-10-31T08:02:37.504729,
78,Bracers of Defense of the Ironclad,"These bracers are made of a strong iron alloy and are inscribed with ancient runes. When worn, they provide a powerful defensive boost to the wearer.",defense_item,Grants the wearer +2 to their armor class.,The bracers are made of a dark iron alloy and are inscribed with ancient runes. They have a dull sheen and are slightly curved to fit the wearer's arms.,Defensive,,,1,,,,,2023-10-31T08:02:37.524347,
79,Bracers of the Elemental Fire,"These bracers are imbued with the power of the Elemental Fire, granting the wearer increased strength and protection.",defense_item,Grants the wearer increased strength and protection.,"The bracers are made of a deep red metal, with intricate designs of flames etched into them. The bracers are warm to the touch, and seem to pulse with an inner fire.",Warrior,,,1,,,,,2023-10-31T08:02:37.547885,
80,Bracers of the Hunter's Fury,"These bracers are imbued with the power of the hunter, granting the wearer increased agility and strength.",defense_item,Grants the wearer increased agility and strength.,"The bracers are made of a dark leather, with intricate patterns of silver and gold thread woven into them. The bracers are adorned with a large, red gemstone in the center, which glows with a fierce light.",Hunter,,,1,,,,,2023-10-31T08:02:37.567504,
81,Bracers of the Monk's Blessing,"These bracers are said to have been blessed by a powerful monk, granting the wearer increased agility and strength.",defense_item,Increases agility and strength.,The bracers are made of a dark brown leather and have intricate gold designs etched into them. They are fastened with a gold buckle and have a small charm in the shape of a monk's head hanging from them.,Accessory,,,1,,,,,2023-10-31T08:02:37.597709,
82,Bracers of the Sorcerer's Fury,"These bracers are imbued with powerful magic, granting the wearer increased magical power.",defense_item,The wearer of the bracers gains a +2 bonus to all spellcasting rolls.,"The bracers are made of a deep blue leather, with intricate silver runes etched into them. They are fastened with a silver clasp.",Sorcerer,,,1,,,,,2023-10-31T08:02:37.624939,
83,Bracers of the Sorcerer's Fury,"These bracers are imbued with powerful magic, granting the wearer the ability to channel their inner fury and unleash powerful spells.",defense_item,The wearer of the bracers can cast spells with increased power and accuracy.,"The bracers are made of a deep red leather, with intricate gold designs etched into them. They are lined with a soft velvet material, and have a large ruby set in the center of each bracer.",Sorcerer,,,1,,,,,2023-10-31T08:02:37.649708,
84,Bracers of the Unyielding,These bracers are made of a mysterious metal that is said to be unbreakable. They are said to grant the wearer great strength and resilience.,defense_item,Increases Strength and Resilience.,The bracers are made of a dark metal that glints in the light. They are adorned with intricate designs and symbols that seem to be imbued with power.,Warrior,,,1,,,,,2023-10-31T08:02:37.675062,
85,Bracers of the Unyielding,These bracers are made of a mysterious metal that is said to be unbreakable. They are said to grant the wearer great strength and resilience.,defense_item,Increases Strength and Resilience,The bracers are made of a dark metal that glints in the light. They are adorned with intricate designs and symbols that seem to be imbued with power.,Warrior,,,1,,,,,2023-10-31T08:02:37.699613,
86,Breastplate of the Valiant,This breastplate was crafted by a master smith and imbued with the power of courage and valor.,defense_item,Grants the wearer +2 to Strength and +2 to Constitution.,"The Breastplate of the Valiant is a shining silver plate with intricate gold filigree. It is adorned with a large red ruby in the center, and the edges are lined with small sapphires.",Paladin,,,1,,,,,2023-10-31T08:02:37.724161,
87,Brew of Etherealness - Celestial Elixir,"This elixir is said to be brewed from the essence of the heavens, granting its drinker a glimpse of the divine.",magic_item,Grants the drinker a temporary boost to their magical abilities.,"The elixir is a shimmering blue liquid, with a faint glow that seems to come from within. It is contained in a small glass vial, with a cork stopper.",Consumable,,,1,,,,,2023-10-31T08:02:37.741263,
88,Brew of Giant Strength,This magical brew grants the drinker the strength of a giant for a short period of time.,magic_item,Grants the drinker the strength of a giant for a short period of time.,"A large stein filled with a thick, dark liquid, with a frothy head. The stein is adorned with a giant's arm holding a hammer, symbolizing the strength granted by the brew.",Spell,,,1,,,,,2023-10-31T08:02:37.765228,
89,Brewing Cauldron,This magical cauldron can be used to brew powerful potions and elixirs.,magic_item,Brew a potion that restores 5 health to all friendly characters.,"A large black cauldron with a bubbling green liquid inside, surrounded by a swirling purple mist.",Mage,,,1,,,,,2023-10-31T08:02:37.783921,
90,Brigandine's Bandit,"A bandit wearing a brigandine armor, ready to steal your gold.",defense_item,Steal 1 gold from the enemy.,"A hooded figure wearing a brigandine armor, with a sword in one hand and a bag of gold in the other.",Rogue,,,1,,,,,2023-10-31T08:02:37.804169,
91,Brownie Blaster,This card allows you to blast your enemies with a barrage of brownies!,creature,Deals damage to all enemies equal to the number of brownies used.,"A wizard with a wand in one hand and a plate of brownies in the other, shooting a stream of brownies at their enemies.",Spell,,,1,,,,,2023-10-31T08:02:37.825585,
92,Brownie Blaster,This spell blasts your opponent with a barrage of brownies!,creature,Deals 5 damage to your opponent.,A giant brownie with a menacing expression appears and launches a barrage of smaller brownies at your opponent.,Spell,,,1,,,,,2023-10-31T08:02:37.850739,
93,Bunyip's Blessing,"A blessing from the Bunyip, granting the user a powerful protection.",creature,Gain +2 Armor and +2 Health.,"A glowing blue aura surrounds the user, with a faint image of a Bunyip in the center.",Paladin,,,1,,,,,2023-10-31T08:02:37.897783,
94,Butterfly Sword of the Wind,A magical sword that can be used to control the wind.,attack_item,Allows the user to control the wind.,"The Butterfly Sword of the Wind is a long, curved blade with a hilt made of silver and a handle wrapped in blue silk. The blade is etched with intricate designs of butterflies and the wind. The pommel is a large, blue gemstone that glows with a faint light.",Weapon,,,1,,,,,2023-10-31T08:02:37.928567,
95,Caltrops of the Burning Sands,This card allows you to summon a field of caltrops that will damage any enemy that steps on them.,attack_item,Summons a field of caltrops that will damage any enemy that steps on them.,"A field of burning caltrops appears in front of the caster, with a red and orange glow emanating from them.",Spell,,,1,,,,,2023-10-31T08:02:37.966992,
